
#204741	 575BP250
Wavelength (nm)	%T
1050	0.02042101696
1049	-0.006028273143
1048	0.003767221933
1047	0.01436495222
1046	0.003801045706
1045	0.01430168748
1044	0.01124493219
1043	0.00673132902
1042	0.01916923374
1041	0.01276281849
1040	-0.003955078311
1039	0.003803061554
1038	0.01597104035
1037	0.005238865968
1036	0.008354377933
1035	0.0007423021016
1034	0.004549699835
1033	0.009031895548
1032	0.02100449987
1031	0.01819703728
1030	0.006960453931
1029	0.02029865794
1028	0.009105742909
1027	0.01355544198
1026	0.004571984988
1025	0.01505062822
1024	0.01744337194
1023	0.002239035908
1022	0.0157546252
1021	0.0121251801
1020	0.01664001308
1019	0.0255354885
1018	0.009034270421
1017	0.01056684833
1016	0.006823945325
1015	1.86E-05
1014	0.01342348102
1013	0.007502835244
1012	0.001663414529
1011	0.0112430593
1010	0.01045740396
1009	0.0008085013251
1008	0.00145071256
1007	0.01343441382
1006	0.009250808507
1005	0.01870719157
1004	0.009032902308
1003	0.02041277662
1002	-0.006048809271
1001	-0.009092907421
1000	0.01521396637
999	0.01947937347
998	0.02697672136
997	0.0008070275653
996	0.0007560692611
995	-0.002290766221
994	0.01442964282
993	0.003729276359
992	0.01121244486
991	0.01654724218
990	0.009159132838
989	0.006681180093
988	0.001524285064
987	0.006083325483
986	0.01928048395
985	0.009245997295
984	0.0007643534336
983	0.003780512605
982	0.01661241055
981	-0.008215469308
980	-0.002250239253
979	0.005273764487
978	0.01119269617
977	0.01812515594
976	0.006771864835
975	0.005956703797
974	0.00163879653
973	0.009692852385
972	0.01507359371
971	-0.003752261866
970	-0.003789042588
969	0.01197761018
968	0.008229535073
967	0.00682335021
966	0.0007250112831
965	-0.0008075921214
964	-0.0006781170378
963	-0.006038344
962	-0.005921600852
961	-0.009134608321
960	-0.01435603015
959	0.005315496586
958	0.01031704061
957	0.003853507573
956	0.01140949968
955	0.00523036113
954	0.006173033267
953	0.006723409053
952	0.007585526444
951	0.003846307285
950	-0.0007717328845
949	-0.002140378812
948	-0.001039082883
947	-0.003700810019
946	0.01296130102
945	0.004422012717
944	0.009916804731
943	-0.00304403156
942	-0.0142835835
941	0.01651851274
940	0.005367931444
939	0.005276264157
938	-0.00774403289
937	0.009128718637
936	0.00156945351
935	-0.0006744672428
934	0.01272749808
933	0.001646986813
932	-0.003804740496
931	0.008312268183
930	0.01274565328
929	0.01148520224
928	0.01001408789
927	0.003823442152
926	-0.00165934721
925	0.001571302186
924	0.005499305669
923	0.01361065544
