#wl	irradiance*RSR
3.750000000000000000e+02 -3.648422611680923907e-07 -1.166128431642793001e-07 -2.029508049924947944e-07 -8.890740216061005476e-07
3.800000000000000000e+02 2.673936465353092634e-07 9.025639529078911189e-08 2.343377533556946459e-07 6.570983720272571479e-07
3.850000000000000000e+02 -2.869878078660470271e-07 -1.068080011499798917e-07 -3.800076859765057905e-07 -7.542690998279514698e-07
3.900000000000000000e+02 -2.384917291932586204e-06 -1.001450056503427840e-06 -4.561013904224793727e-06 -7.028589154806602552e-06
3.950000000000000000e+02 -8.869911461828108908e-07 -4.314583995570388194e-07 -2.329091320711806814e-06 -3.054628097932210695e-06
4.000000000000000000e+02 4.006314543286468761e-09 2.153777860879280543e-09 1.262763371744035844e-08 1.538522205387257567e-08
4.050000000000000000e+02 -2.303225344252218310e-06 -1.465903396107250731e-06 -9.352204736440906306e-06 -1.060050367459159404e-05
4.100000000000000000e+02 3.350040857801072925e-06 2.585944558101135890e-06 1.720660545773411025e-05 1.838826489322254118e-05
4.150000000000000000e+02 2.426437108907166469e-06 2.336082257253139899e-06 1.535880210991603494e-05 1.596235493475032979e-05
4.200000000000000000e+02 -4.045274376995627676e-07 -4.822020395877410228e-07 -3.135103939996175389e-06 -3.189103080943151114e-06
4.250000000000000000e+02 -3.549168133499444256e-06 -5.003635259241959982e-06 -3.421664426721244103e-05 -3.361333026857714009e-05
4.300000000000000000e+02 4.587315478833386115e-06 7.503275665928385316e-06 5.375547075124612663e-05 5.163826868164348512e-05
4.350000000000000000e+02 7.081795434684538847e-06 1.413306928465205635e-05 1.001934484528600055e-04 9.358818821805263356e-05
4.400000000000000000e+02 7.253066988598827220e-05 1.878166040560182506e-04 1.223703091767244441e-03 1.122517657416284998e-03
4.450000000000000000e+02 6.502772075332614692e-03 2.260007403322148931e-02 1.316238528786663198e-01 1.180924417736883697e-01
4.500000000000000000e+02 7.328396824785210484e-02 3.434427507653753375e-01 1.781482017346806002e+00 1.601952314784313769e+00
