#KAI-29050 Quantum Efficiency for DPS (002)
#Bayer RGB with Microlens
#Wavelength (nm)	Gen1 Red	Gen1 Green	Gen1 Blue	Gen2 Red	Gen2 Green	Gen2 Blue
#300				0.003	0.004	0.005
#305				0.001	0.002	0.002
#310				0.001	0.001	0.001
#315				0.001	0.002	0.001
#320				0.003	0.004	0.001
#325				0.006	0.008	0.001
#330				0.011	0.012	0.001
#335				0.013	0.018	0.002
#340				0.026	0.021	0.002
#345				0.056	0.024	0.002
#350				0.076	0.026	0.003
#355				0.084	0.027	0.005
#360				0.086	0.027	0.009
#365				0.085	0.028	0.017
845	0.067	0.064	0.063	0.064	0.060	0.061
850	0.064	0.062	0.060	0.061	0.059	0.058
855	0.061	0.060	0.058	0.059	0.058	0.057
860	0.058	0.057	0.056	0.055	0.054	0.054
865	0.055	0.054	0.054	0.052	0.051	0.051
870	0.051	0.051	0.051	0.049	0.049	0.048
875	0.048	0.048	0.047	0.046	0.046	0.046
880	0.045	0.045	0.043	0.043	0.043	0.043
885	0.043	0.044	0.042	0.041	0.041	0.041
890	0.042	0.042	0.040	0.039	0.040	0.040
895	0.039	0.039	0.038	0.037	0.037	0.037
900	0.037	0.037	0.037	0.036	0.036	0.036
905	0.034	0.033	0.034	0.033	0.033	0.033
910	0.032	0.032	0.032	0.031	0.031	0.031
915	0.029	0.029	0.029	0.028	0.028	0.027
920	0.028	0.028	0.028	0.027	0.027	0.026
925	0.026	0.027	0.026	0.025	0.025	0.025
930	0.025	0.026	0.024	0.023	0.024	0.023
935	0.023	0.024	0.023	0.022	0.023	0.022
940	0.022	0.022	0.022	0.021	0.021	0.021
945	0.021	0.021	0.020	0.019	0.020	0.020
950	0.019	0.019	0.019	0.018	0.018	0.018
955	0.018	0.018	0.018	0.017	0.017	0.017
960	0.017	0.017	0.017	0.016	0.016	0.016
965	0.015	0.015	0.015	0.015	0.015	0.015
970	0.014	0.014	0.014	0.013	0.013	0.014
975	0.012	0.013	0.013	0.012	0.012	0.012
980	0.011	0.012	0.011	0.011	0.011	0.011
985	0.011	0.011	0.011	0.010	0.010	0.010
990	0.010	0.010	0.010	0.009	0.009	0.009
995	0.009	0.009	0.009	0.008	0.009	0.008
1000	0.008	0.008	0.008	0.008	0.008	0.008
1005	0.007	0.007	0.008	0.007	0.007	0.007
1010	0.006	0.007	0.007	0.006	0.006	0.006
1015	0.006	0.006	0.006	0.006	0.006	0.006
1020	0.006	0.006	0.006	0.005	0.005	0.005
1025	0.005	0.005	0.005	0.004	0.004	0.004
1030	0.005	0.005	0.005	0.004	0.004	0.004
1035	0.004	0.004	0.004	0.003	0.003	0.003
1040	0.004	0.004	0.004	0.003	0.003	0.003
1045	0.003	0.003	0.003	0.003	0.003	0.003
1050	0.003	0.003	0.003	0.002	0.002	0.002
