#KAI-29050 Quantum Efficiency for DPS (002)
#Sparse CFA with Mircolens
Wavelength (nm)	Gen1 Red	Gen1 Green	Gen1 Blue	Gen1 Pan	Gen2 Red	Gen2 Green	Gen2 Blue	Gen2 Pan
690	0.19507	0.03700	0.00751	0.20255	0.18955	0.05651	0.02792	0.20255
695	0.19177	0.04306	0.00767	0.19333	0.18646	0.06150	0.02801	0.19333
700	0.18940	0.04891	0.00780	0.18749	0.18246	0.06567	0.02766	0.18749
705	0.18475	0.05312	0.00753	0.18731	0.17744	0.06863	0.02683	0.18731
710	0.17802	0.05529	0.00676	0.18302	0.17175	0.07012	0.02518	0.18302
715	0.17337	0.05513	0.00593	0.17475	0.16829	0.06973	0.02285	0.17475
720	0.16989	0.05275	0.00504	0.16879	0.16616	0.06760	0.02019	0.16879
725	0.16602	0.04976	0.00429	0.16477	0.16201	0.06415	0.01776	0.16477
730	0.15973	0.04824	0.00375	0.15832	0.15532	0.06153	0.01587	0.15832
735	0.15274	0.04825	0.00345	0.15230	0.14908	0.06121	0.01474	0.15230
740	0.14746	0.05009	0.00332	0.14732	0.14466	0.06311	0.01415	0.14732
745	0.14287	0.05254	0.00320	0.14316	0.14107	0.06560	0.01338	0.14316
750	0.14002	0.05598	0.00307	0.13723	0.13776	0.06866	0.01270	0.13723
755	0.13799	0.05958	0.00297	0.13164	0.13312	0.07126	0.01214	0.13164
760	0.13364	0.06226	0.00281	0.12694	0.12895	0.07296	0.01189	0.12694
765	0.12753	0.06379	0.00279	0.12300	0.12424	0.07338	0.01218	0.12300
770	0.12402	0.06625	0.00367	0.12257	0.12074	0.07398	0.01343	0.12257
775	0.11819	0.06841	0.00508	0.11882	0.11592	0.07353	0.01604	0.11882
780	0.11373	0.07063	0.00789	0.11480	0.11090	0.07272	0.02058	0.11480
785	0.11021	0.07277	0.01374	0.11004	0.10614	0.07218	0.02796	0.11004
790	0.10566	0.07470	0.02386	0.10343	0.10219	0.07168	0.03914	0.10343
795	0.10361	0.07719	0.03687	0.09868	0.09878	0.07185	0.05094	0.09868
800	0.09924	0.07762	0.04986	0.09520	0.09422	0.07208	0.06062	0.09520
805	0.09354	0.07676	0.06119	0.09214	0.09015	0.07164	0.06821	0.09214
810	0.08899	0.07536	0.06814	0.08998	0.08632	0.07116	0.07248	0.08998
815	0.08599	0.07499	0.07099	0.08643	0.08308	0.07063	0.07405	0.08643
820	0.08184	0.07393	0.07073	0.08005	0.07935	0.06957	0.07384	0.08005
825	0.07674	0.07096	0.06878	0.07322	0.07404	0.06658	0.07068	0.07322
830	0.07514	0.06954	0.06907	0.07255	0.07241	0.06659	0.06995	0.07255
835	0.07017	0.06630	0.06717	0.07144	0.06779	0.06363	0.06567	0.07144
840	0.06856	0.06553	0.06491	0.06929	0.06559	0.06157	0.06300	0.06929
845	0.06670	0.06407	0.06290	0.06670	0.06356	0.06020	0.06064	0.06670
850	0.06420	0.06186	0.06006	0.06410	0.06051	0.05854	0.05813	0.06410
855	0.06129	0.05973	0.05789	0.06061	0.05865	0.05757	0.05684	0.06061
860	0.05832	0.05726	0.05607	0.05677	0.05543	0.05447	0.05413	0.05677
865	0.05501	0.05412	0.05413	0.05395	0.05241	0.05141	0.05120	0.05395
870	0.05111	0.05099	0.05083	0.05194	0.04912	0.04869	0.04844	0.05194
875	0.04764	0.04772	0.04704	0.04985	0.04621	0.04631	0.04647	0.04985
880	0.04463	0.04519	0.04335	0.04572	0.04285	0.04290	0.04330	0.04572
885	0.04297	0.04353	0.04160	0.04346	0.04077	0.04083	0.04132	0.04346
890	0.04169	0.04197	0.04042	0.04048	0.03935	0.03962	0.03992	0.04048
895	0.03935	0.03887	0.03803	0.03711	0.03697	0.03723	0.03716	0.03711
900	0.03727	0.03702	0.03703	0.03555	0.03572	0.03590	0.03583	0.03555
905	0.03359	0.03325	0.03423	0.03312	0.03293	0.03284	0.03270	0.03312
910	0.03199	0.03163	0.03235	0.03209	0.03108	0.03081	0.03057	0.03209
915	0.02904	0.02921	0.02893	0.02946	0.02792	0.02790	0.02740	0.02946
920	0.02780	0.02824	0.02753	0.02806	0.02672	0.02683	0.02633	0.02806
925	0.02640	0.02694	0.02608	0.02627	0.02484	0.02512	0.02479	0.02627
930	0.02501	0.02553	0.02433	0.02464	0.02324	0.02376	0.02337	0.02464
935	0.02345	0.02384	0.02295	0.02342	0.02212	0.02262	0.02230	0.02342
940	0.02211	0.02236	0.02185	0.02194	0.02055	0.02119	0.02092	0.02194
945	0.02071	0.02101	0.02050	0.02066	0.01917	0.01969	0.01955	0.02066
950	0.01920	0.01930	0.01909	0.01885	0.01811	0.01836	0.01824	0.01885
955	0.01792	0.01807	0.01794	0.01766	0.01709	0.01725	0.01722	0.01766
960	0.01665	0.01676	0.01681	0.01631	0.01596	0.01621	0.01614	0.01631
965	0.01513	0.01523	0.01536	0.01481	0.01467	0.01495	0.01489	0.01481
970	0.01354	0.01370	0.01384	0.01372	0.01336	0.01348	0.01352	0.01372
975	0.01240	0.01263	0.01258	0.01282	0.01216	0.01222	0.01234	0.01282
980	0.01119	0.01156	0.01144	0.01156	0.01083	0.01099	0.01095	0.01156
985	0.01075	0.01111	0.01073	0.01082	0.01009	0.01027	0.01016	0.01082
990	0.00980	0.00998	0.00955	0.00947	0.00894	0.00915	0.00906	0.00947
995	0.00896	0.00913	0.00887	0.00876	0.00826	0.00855	0.00841	0.00876
1000	0.00828	0.00840	0.00830	0.00769	0.00760	0.00790	0.00771	0.00769
1005	0.00741	0.00749	0.00756	0.00679	0.00693	0.00715	0.00699	0.00679
1010	0.00650	0.00652	0.00663	0.00598	0.00619	0.00635	0.00623	0.00598
1015	0.00592	0.00593	0.00603	0.00547	0.00559	0.00571	0.00558	0.00547
1020	0.00556	0.00553	0.00567	0.00488	0.00497	0.00498	0.00489	0.00488
1025	0.00504	0.00511	0.00513	0.00438	0.00436	0.00434	0.00432	0.00438
1030	0.00458	0.00467	0.00458	0.00390	0.00383	0.00385	0.00384	0.00390
1035	0.00401	0.00410	0.00396	0.00337	0.00340	0.00343	0.00339	0.00337
1040	0.00379	0.00388	0.00373	0.00298	0.00303	0.00308	0.00303	0.00298
1045	0.00334	0.00338	0.00326	0.00258	0.00261	0.00267	0.00261	0.00258
1050	0.00284	0.00287	0.00279	0.00218	0.00222	0.00228	0.00223	0.00218
