#Brown University Keck/NASA Relab Spectrum LS-CMP-025/C1LS25
#Wavelength(micron)	Reflectance
2.1	0.88242
2.105	0.88303
2.11	0.88551
2.115	0.88604
2.12	0.88834
2.125	0.88928
2.13	0.88614
2.135	0.88611
2.14	0.88317
2.145	0.88291
2.15	0.88241
2.155	0.88350
2.16	0.88448
2.165	0.88198
2.17	0.88241
2.175	0.88496
2.18	0.88500
2.185	0.88234
2.19	0.88274
2.195	0.88082
2.2	0.87815
2.205	0.87559
2.21	0.87267
2.215	0.87863
2.22	0.87936
2.225	0.87790
2.23	0.87777
2.235	0.88184
2.24	0.88195
2.245	0.87930
2.25	0.88318
2.255	0.88158
2.26	0.88623
2.265	0.89065
2.27	0.88976
2.275	0.88842
2.28	0.88985
2.285	0.88924
2.29	0.88462
2.295	0.88297
2.3	0.88742
2.305	0.88624
2.31	0.88213
2.315	0.87895
2.32	0.88512
2.325	0.88939
2.33	0.89268
2.335	0.89134
2.34	0.89725
2.345	0.90015
2.35	0.89481
2.355	0.88866
2.36	0.89034
2.365	0.88982
2.37	0.88840
2.375	0.89086
2.38	0.89602
2.385	0.89308
2.39	0.89162
2.395	0.89268
2.4	0.89297
2.405	0.89038
2.41	0.89050
2.415	0.89253
2.42	0.89077
2.425	0.89091
2.43	0.89402
2.435	0.89142
2.44	0.88885
2.445	0.88476
2.45	0.88094
2.455	0.87400
2.46	0.87137
2.465	0.86860
2.47	0.87332
2.475	0.87053
2.48	0.86899
2.485	0.86799
2.49	0.87457
2.495	0.87494
2.5	0.86959
2.505	0.86629
2.51	0.86574
2.515	0.86125
2.52	0.86173
2.525	0.86212
2.53	0.85981
2.535	0.85735
2.54	0.85305
2.545	0.85576
2.55	0.85288
2.555	0.85752
2.56	0.85111
2.565	0.84746
2.57	0.84231
2.575	0.84771
2.58	0.84484
2.585	0.84188
2.59	0.84024
2.595	0.84958
2.6	0.84290
