#Brown University Keck/NASA Relab Spectrum LS-JBA-088-M/CLS171
#Wavelength(micron)	Reflectance
1.414	0.215000
1.417	0.215000
1.42	0.216000
1.423	0.216000
1.426	0.216000
1.429	0.217333
1.432	0.218000
1.435	0.218000
1.438	0.218333
1.441	0.219000
1.444	0.219000
1.447	0.219000
1.45	0.220000
1.453	0.220000
1.456	0.220000
1.459	0.220667
1.462	0.221000
1.465	0.221000
1.468	0.221000
1.471	0.221000
1.474	0.221667
1.477	0.222000
1.48	0.223000
1.483	0.223000
1.486	0.223000
1.489	0.223000
1.492	0.223000
1.495	0.223000
1.498	0.223000
1.501	0.223000
1.504	0.223667
1.507	0.224000
1.51	0.224000
1.513	0.224333
1.516	0.225000
1.519	0.225667
1.522	0.226000
1.525	0.226000
1.528	0.226000
1.531	0.226000
1.534	0.226667
1.537	0.227000
1.54	0.227000
1.543	0.227000
1.546	0.227000
1.549	0.227667
1.552	0.228000
1.555	0.228000
1.558	0.228333
1.561	0.229000
1.564	0.229000
1.567	0.229000
1.57	0.230000
1.573	0.230000
1.576	0.230000
1.579	0.230000
1.582	0.230000
1.585	0.231000
1.588	0.231000
1.591	0.231000
1.594	0.231000
1.597	0.231000
1.6	0.231000
1.603	0.231333
1.606	0.232000
1.609	0.232000
1.612	0.232000
1.615	0.232000
1.618	0.232333
1.621	0.233000
1.624	0.233000
1.627	0.233000
1.63	0.233000
1.633	0.233000
1.636	0.233000
1.639	0.233000
1.642	0.233000
1.645	0.233000
1.648	0.233333
1.651	0.234000
1.654	0.234000
1.657	0.234000
1.66	0.234000
1.663	0.234333
1.666	0.235000
1.669	0.235000
1.672	0.235000
1.675	0.235000
1.678	0.235333
1.681	0.236000
1.684	0.236000
1.687	0.236000
1.69	0.236000
1.693	0.236333
1.696	0.237000
1.699	0.237000
1.702	0.237000
1.705	0.238000
1.708	0.238000
1.711	0.238000
1.714	0.238000
1.717	0.238000
1.72	0.238000
1.723	0.238000
1.726	0.238000
1.729	0.238667
1.732	0.239000
1.735	0.239000
1.738	0.239333
1.741	0.240000
1.744	0.240000
1.747	0.240000
1.75	0.240000
1.753	0.240000
1.756	0.240000
1.759	0.240667
1.762	0.241000
1.765	0.241000
1.768	0.241000
1.771	0.241000
1.774	0.241000
1.777	0.241000
1.78	0.241000
1.783	0.241000
1.786	0.241000
1.789	0.241000
1.792	0.241000
1.795	0.241000
1.798	0.241000
1.801	0.241000
1.804	0.241667
1.807	0.242000
1.81	0.242000
1.813	0.242000
1.816	0.242000
1.819	0.242667
1.822	0.243000
1.825	0.244000
1.828	0.244000
1.831	0.244000
1.834	0.244000
1.837	0.244000
1.84	0.245000
1.843	0.245000
1.846	0.245000
1.849	0.245000
1.852	0.245000
1.855	0.246000
1.858	0.246000
1.861	0.246000
1.864	0.246000
1.867	0.246000
1.87	0.247000
1.873	0.247333
1.876	0.248000
1.879	0.248000
1.882	0.248000
1.885	0.249000
1.888	0.249000
1.891	0.249000
1.894	0.249000
1.897	0.249000
1.9	0.249000
1.903	0.249000
1.906	0.249000
1.909	0.250333
1.912	0.251000
1.915	0.251000
1.918	0.251000
1.921	0.251000
1.924	0.251667
1.927	0.252000
1.93	0.252000
1.933	0.252000
1.936	0.252000
1.939	0.252667
1.942	0.253000
1.945	0.253000
1.948	0.253333
1.951	0.254000
1.954	0.254000
1.957	0.254000
1.96	0.254000
1.963	0.254333
1.966	0.255000
1.969	0.255000
1.972	0.255000
1.975	0.255000
1.978	0.255000
1.981	0.255000
1.984	0.255000
1.987	0.255000
1.99	0.256000
1.993	0.256333
1.996	0.257000
1.999	0.257000
2.002	0.257000
2.005	0.257000
2.008	0.257333
2.011	0.258000
2.014	0.258000
2.017	0.258000
2.02	0.258000
2.023	0.258000
2.026	0.258000
2.029	0.258667
2.032	0.259000
2.035	0.259000
2.038	0.259333
2.041	0.260000
2.044	0.260000
2.047	0.260000
2.05	0.261000
2.053	0.261000
2.056	0.261000
2.059	0.261000
2.062	0.261000
2.065	0.262000
2.068	0.262333
2.071	0.263000
2.074	0.263000
2.077	0.263000
2.08	0.263000
2.083	0.263000
2.086	0.263000
2.089	0.263667
2.092	0.264000
2.095	0.265000
