1	2018/4/4 13:19:37	216.605958333	-0.230555555556	706191.6875	1	242.243916667	-16.14625	13.55	5.79916666667	0.689296147849	
1	2018/4/4 13:29:37	210.544958333	-36.1745277778	716665.0625	1	242.331333333	-16.1648333333	13.5563333333	5.80180555556	0.690773656064	
0	2018/4/4 13:39:37	191.514583333	-71.1102222222	728886.8125	0	242.41875	-16.1833888889	13.5626666667	5.80447222222	0.692251164239	
0	2018/4/4 13:49:37	59.0087083333	-69.079	727949.3125	0	242.506125	-16.2018888889	13.569	5.80711111111	0.693728672402	
0	2018/4/4 13:59:37	42.2845833333	-33.9577777778	714668.25	0	242.593541667	-16.2203611111	13.5753333333	5.80975	0.695206180584	
0	2018/4/4 14:09:37	36.3809166667	2.01325	704639.6875	0	242.680958333	-16.2387777778	13.5816666667	5.81238888889	0.696683688834	
0	2018/4/4 14:19:37	30.1582916667	38.0051388889	707533.5625	0	242.768375	-16.2571666667	13.5880416667	5.81502777778	0.698161197	
0	2018/4/4 14:29:37	8.55091666667	72.86825	715188.8125	0	242.855791667	-16.2755	13.594375	5.81769444444	0.699638705143	
0	2018/4/4 14:39:37	236.8365	67.1140277778	714628.4375	0	242.943208333	-16.2938333333	13.6007083333	5.82033333333	0.70111621331	
1	2018/4/4 14:49:37	221.863083333	31.7558888889	707315.1875	1	243.030625	-16.3120833333	13.6070416667	5.82297222222	0.702593721543	
1	2018/4/4 14:59:37	216.089041667	-4.24952777778	706795.8125	1	243.118083333	-16.3303333333	13.613375	5.82561111111	0.704071229747	
1	2018/4/4 15:09:37	209.668208333	-40.162	718263.125	1	243.2055	-16.3485277778	13.61975	5.82825	0.705548737941	
0	2018/4/4 15:19:37	184.774708333	-74.6388055556	729601.5	0	243.292916667	-16.3666944444	13.6260833333	5.83088888889	0.707026246078	
0	2018/4/4 15:29:37	55.1670833333	-65.3172222222	726860.8125	0	243.380375	-16.3848055556	13.6324166667	5.83355555556	0.708503754312	
0	2018/4/4 15:39:37	41.5413333333	-29.9583611111	713074.875	0	243.467791667	-16.4028888889	13.63875	5.83619444444	0.709981262493	
0	2018/4/4 15:49:37	35.861625	6.0345	704324.125	0	243.55525	-16.4209166667	13.6450833333	5.83883333333	0.711458770615	
0	2018/4/4 15:59:37	29.228125	42.0002222222	708436.75	0	243.642708333	-16.4389166667	13.6514166667	5.84147222222	0.712936278827	
0	2018/4/4 16:09:37	0.21925	76.2786111111	715677.625	0	243.730166667	-16.4568888889	13.6577916667	5.84411111111	0.714413787001	
0	2018/4/4 16:19:37	233.557708333	63.2943055556	713941.9375	0	243.817583333	-16.4748055556	13.664125	5.84675	0.715891295188	
1	2018/4/4 16:29:37	221.155041667	27.74675	706676.0	1	243.905041667	-16.4926944444	13.6704583333	5.84938888889	0.717368803414	
1	2018/4/4 16:39:37	215.566	-8.26747222222	707570.8125	1	243.9925	-16.5105555556	13.6767916667	5.85205555556	0.718846311563	
1	2018/4/4 16:49:37	208.673625	-44.1403055556	719861.875	1	244.079958333	-16.5283611111	13.683125	5.85469444444	0.720323819783	
0	2018/4/4 16:59:37	174.340458333	-77.8457222222	730119.6875	0	244.167416667	-16.5461111111	13.6895	5.85733333333	0.721801327993	
0	2018/4/4 17:09:37	52.312125	-61.4793055556	725618.6875	0	244.254916667	-16.5638611111	13.6958333333	5.85997222222	0.723278836161	
0	2018/4/4 17:19:37	40.8609166667	-25.9537222222	711555.1875	0	244.342375	-16.5815277778	13.7021666667	5.86261111111	0.724756344305	
0	2018/4/4 17:29:37	35.3334166667	10.0556388889	704191.3125	0	244.429833333	-16.5991944444	13.7085	5.86525	0.726233852542	
0	2018/4/4 17:39:37	28.1640833333	45.9857222222	709382.0625	0	244.517333333	-16.6168055556	13.7148333333	5.86788888889	0.727711360703	
0	2018/4/4 17:49:37	346.970458333	79.23275	716034.5625	0	244.604791667	-16.6343888889	13.7211666667	5.87055555556	0.729188868903	
0	2018/4/4 17:59:37	231.068541667	59.41475	713173.0	0	244.692291667	-16.6519166667	13.7275416667	5.87319444444	0.730666377107	
1	2018/4/4 18:09:37	220.502333333	23.7340277778	706151.3125	1	244.77975	-16.6694166667	13.733875	5.87583333333	0.732143885246	
1	2018/4/4 18:19:37	215.030875	-12.2839444444	708508.5	1	244.86725	-16.6868611111	13.7402083333	5.87847222222	0.733621393439	
1	2018/4/4 18:29:37	207.525541667	-48.1068611111	721434.5625	1	244.95475	-16.7042777778	13.7465416667	5.88111111111	0.735098901633	
0	2018/4/4 18:39:37	157.573166667	-80.4029722222	730431.625	0	245.04225	-16.7216666667	13.752875	5.88375	0.736576409887	
0	2018/4/4 18:49:37	50.1028333333	-57.5921944444	724243.9375	0	245.12975	-16.739	13.75925	5.88638888889	0.738053917999	
0	2018/4/4 18:59:37	40.2297083333	-21.9448888889	710132.5	0	245.21725	-16.7563055556	13.7655833333	5.88902777778	0.739531426204	
0	2018/4/4 19:09:37	34.7900416667	14.0762222222	704236.5625	0	245.30475	-16.7735555556	13.7719166667	5.89166666667	0.7410089344	
0	2018/4/4 19:19:37	26.92425	49.9585555556	710345.4375	0	245.39225	-16.7907777778	13.77825	5.89433333333	0.742486442582	
0	2018/4/4 19:29:37	325.976916667	81.2552777778	716251.875	0	245.47975	-16.8079722222	13.7845833333	5.89697222222	0.743963950762	
0	2018/4/4 19:39:37	229.108208333	55.4957222222	712341.4375	0	245.567291667	-16.8251111111	13.7909583333	5.89961111111	0.745441458959	
