#Brown University Keck/NASA Relab Spectrum LS-CMP-010/C1LS10
#Wavelength(micron)	Reflectance	Standard Deviation
1.47	0.57474	0.00911
1.475	0.57498	0.01054
1.48	0.57685	0.01141
1.485	0.57760	0.00927
1.49	0.57638	0.01123
1.495	0.57641	0.01027
1.5	0.57739	0.01015
1.505	0.57937	0.01075
1.51	0.57813	0.00881
1.515	0.57940	0.01004
1.52	0.57873	0.01019
1.525	0.57938	0.00922
1.53	0.57935	0.01089
1.535	0.58092	0.01043
1.54	0.57871	0.01030
1.545	0.57819	0.01118
1.55	0.57969	0.00787
1.555	0.57951	0.01046
1.56	0.57910	0.00916
1.565	0.57966	0.01030
1.57	0.57865	0.00980
1.575	0.57694	0.00856
1.58	0.57876	0.00787
1.585	0.57817	0.00951
1.59	0.57750	0.01038
1.595	0.57724	0.00983
1.6	0.57630	0.01047
1.605	0.57597	0.00935
1.61	0.57482	0.01071
1.615	0.57334	0.01066
1.62	0.57395	0.01078
1.625	0.57304	0.01109
1.63	0.57248	0.01086
1.635	0.56880	0.01041
1.64	0.56752	0.00951
1.645	0.56693	0.01004
1.65	0.56587	0.00984
1.655	0.56638	0.01152
1.66	0.56591	0.01198
1.665	0.56244	0.01076
1.67	0.56402	0.01115
1.675	0.56272	0.00995
1.68	0.56105	0.00906
1.685	0.55968	0.00792
1.69	0.55712	0.00911
1.695	0.55744	0.00898
1.7	0.55420	0.00489
1.705	0.55344	0.00540
1.71	0.55291	0.00482
1.715	0.55267	0.00616
1.72	0.55161	0.00555
1.725	0.55109	0.00677
1.73	0.54936	0.00622
1.735	0.54806	0.00648
1.74	0.54641	0.00620
1.745	0.54543	0.00544
1.75	0.54453	0.00597
1.755	0.54435	0.00618
1.76	0.54272	0.00605
1.765	0.54218	0.00698
1.77	0.54263	0.00671
1.775	0.54068	0.00624
1.78	0.53887	0.00552
1.785	0.53900	0.00484
1.79	0.53685	0.00550
1.795	0.53433	0.00534
1.8	0.53311	0.00641
1.805	0.53119	0.00238
1.81	0.52862	0.00338
1.815	0.52764	0.00311
1.82	0.52705	0.00219
1.825	0.52525	0.00179
1.83	0.52562	0.00250
1.835	0.52492	0.00296
1.84	0.52516	0.00178
1.845	0.52136	0.00292
1.85	0.52228	0.00234
1.855	0.52029	0.00215
1.86	0.51932	0.00132
1.865	0.51544	0.00169
1.87	0.51892	0.00261
1.875	0.52627	0.00230
1.88	0.52245	0.00352
1.885	0.52000	0.00384
1.89	0.51973	0.00279
1.895	0.51653	0.00245
1.9	0.51422	0.00296
1.905	0.51644	0.00224
1.91	0.51613	0.00282
1.915	0.51547	0.00325
1.92	0.51571	0.00338
1.925	0.51667	0.00307
1.93	0.51671	0.00302
1.935	0.51570	0.00281
1.94	0.51647	0.00409
1.945	0.51573	0.00343
1.95	0.51548	0.00306
1.955	0.51492	0.00357
1.96	0.51365	0.00316
1.965	0.51517	0.00302
1.97	0.51499	0.00299
1.975	0.51584	0.00227
1.98	0.51667	0.00228
1.985	0.51591	0.00308
1.99	0.51656	0.00275
1.995	0.51710	0.00344
2	0.51727	0.00293
2.005	0.51805	0.00351
2.01	0.51680	0.00361
2.015	0.52015	0.00495
2.02	0.52180	0.00462
2.025	0.52283	0.00406
2.03	0.52308	0.00442
2.035	0.52258	0.00429
2.04	0.52210	0.00357
2.045	0.52208	0.00385
2.05	0.52241	0.00484
2.055	0.52353	0.00312
2.06	0.52737	0.00277
2.065	0.52817	0.00401
2.07	0.52656	0.00387
2.075	0.52737	0.00505
2.08	0.53121	0.00420
2.085	0.53219	0.00458
2.09	0.53299	0.00356
2.095	0.53345	0.00371
2.1	0.53373	0.00406
2.105	0.53475	0.00481
2.11	0.53757	0.00489
2.115	0.53844	0.00308
2.12	0.53823	0.00249
2.125	0.53801	0.00210
2.13	0.53908	0.00240
2.135	0.54031	0.00270
2.14	0.54148	0.00242
2.145	0.54119	0.00325
2.15	0.54106	0.00354
2.155	0.54430	0.00416
2.16	0.54503	0.00452
2.165	0.54869	0.00345
2.17	0.55089	0.00402
2.175	0.54791	0.00400
2.18	0.54733	0.00355
2.185	0.54808	0.00345
2.19	0.54640	0.00469
2.195	0.54562	0.00501
2.2	0.54799	0.00366
2.205	0.54930	0.00395
2.21	0.54889	0.00291
2.215	0.54896	0.00343
2.22	0.55310	0.00424
2.225	0.55658	0.00424
2.23	0.55744	0.00295
2.235	0.55896	0.00392
2.24	0.55900	0.00366
2.245	0.56050	0.00335
2.25	0.56060	0.00278
2.255	0.56066	0.00287
2.26	0.56166	0.00402
2.265	0.56409	0.00342
2.27	0.56335	0.00310
2.275	0.56443	0.00305
2.28	0.56455	0.00290
2.285	0.56648	0.00277
2.29	0.56644	0.00440
2.295	0.56800	0.00404
2.3	0.57015	0.00397
2.305	0.57136	0.00447
2.31	0.57110	0.00321
2.315	0.57420	0.00361
2.32	0.57476	0.00347
2.325	0.57603	0.00298
2.33	0.57986	0.00214
2.335	0.58321	0.00184
2.34	0.58222	0.00277
2.345	0.58154	0.00226
2.35	0.58411	0.00402
2.355	0.58736	0.00292
2.36	0.58816	0.00403
2.365	0.58556	0.00493
2.37	0.58837	0.00350
2.375	0.58884	0.00404
2.38	0.58743	0.00465
2.385	0.58889	0.00292
2.39	0.59012	0.00135
2.395	0.59181	0.00390
2.4	0.59543	0.00502
2.405	0.59575	0.00436
2.41	0.59346	0.00508
2.415	0.59439	0.00508
2.42	0.60140	0.00322
2.425	0.60229	0.00496
2.43	0.60082	0.00439
2.435	0.60317	0.00412
2.44	0.60468	0.00232
2.445	0.60426	0.00321
2.45	0.60511	0.00408
2.455	0.60838	0.00551
2.46	0.61109	0.00447
2.465	0.61136	0.00391
2.47	0.60950	0.00311
2.475	0.61281	0.00326
2.48	0.61439	0.00410
2.485	0.61154	0.00347
2.49	0.61710	0.00327
2.495	0.62033	0.00388
2.5	0.62084	0.00270
2.505	0.61940	0.00478
2.51	0.62063	0.00451
2.515	0.61936	0.00528
2.52	0.62499	0.00518
2.525	0.62761	0.00262
2.53	0.62587	0.00306
2.535	0.62782	0.00329
2.54	0.63122	0.00496
2.545	0.62558	0.00367
2.55	0.62793	0.00407
