#Wavelength,	QER1,	QEG1,	QEB1,	QER2,	QEG2,	QEB2,	Scout,	Telescope,	total 
4.700000000000000000e+02 3.300000000000000155e-02 1.179999999999999938e-01 3.719999999999999973e-01 1.000000000000000021e-02 9.800000000000000377e-02 3.609999999999999876e-01 9.888079070999999942e-01 7.002199999999999536e-01 3.247276611007845482e-01
4.750000000000000000e+02 3.599999999999999728e-02 1.409999999999999865e-01 3.709999999999999964e-01 1.000000000000000021e-02 1.199999999999999956e-01 3.539999999999999813e-01 9.851388549999999800e-01 7.084500000000000242e-01 3.377940649631789860e-01
4.800000000000000000e+02 3.599999999999999728e-02 1.529999999999999971e-01 3.599999999999999867e-01 1.099999999999999936e-02 1.449999999999999900e-01 3.439999999999999725e-01 9.897492981000000078e-01 7.166799999999999837e-01 3.546667634811540015e-01
4.850000000000000000e+02 3.500000000000000333e-02 1.590000000000000024e-01 3.489999999999999769e-01 1.000000000000000021e-02 1.700000000000000122e-01 3.280000000000000138e-01 9.850189971999999683e-01 7.249100000000000543e-01 3.627374616002080332e-01
4.900000000000000000e+02 3.300000000000000155e-02 1.640000000000000069e-01 3.280000000000000138e-01 8.999999999999999320e-03 1.970000000000000084e-01 3.079999999999999960e-01 9.893317413000000116e-01 7.331400000000000139e-01 3.728137978277745734e-01
4.950000000000000000e+02 3.400000000000000244e-02 1.809999999999999942e-01 3.130000000000000004e-01 8.999999999999999320e-03 2.250000000000000056e-01 2.859999999999999765e-01 9.885377502000000094e-01 7.413699999999999735e-01 3.810935605702024942e-01
5.000000000000000000e+02 3.599999999999999728e-02 2.049999999999999878e-01 2.879999999999999782e-01 8.000000000000000167e-03 2.520000000000000018e-01 2.610000000000000098e-01 9.878227997000000871e-01 7.496000000000000441e-01 3.857858967113176329e-01
5.050000000000000000e+02 3.699999999999999817e-02 2.300000000000000100e-01 2.640000000000000124e-01 8.000000000000000167e-03 2.760000000000000231e-01 2.340000000000000135e-01 9.738444518999999078e-01 7.534300000000000441e-01 3.800688379546188211e-01
5.100000000000000000e+02 3.599999999999999728e-02 2.600000000000000089e-01 2.320000000000000118e-01 8.000000000000000167e-03 2.989999999999999880e-01 2.039999999999999869e-01 9.780073547000001088e-01 7.572600000000000442e-01 3.784495890536824225e-01
5.150000000000000000e+02 3.500000000000000333e-02 2.889999999999999791e-01 1.980000000000000093e-01 1.000000000000000021e-02 3.200000000000000067e-01 1.739999999999999880e-01 9.920372009000000268e-01 7.610900000000000443e-01 3.805349149894224903e-01
